pillar,cluster_id,canonical_concept,keyword,term,source,provenance,confidence,nearest_A_cluster_id,nearest_A_cluster_name,nearest_A_pillar,nearest_A_sim
environmental,0,environmental compliance,consumer_communication,consumer communication,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,consumer_information,consumer information,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,consumer_privacy,consumer privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,consumer_protection,consumer protection,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,consumer_safety,consumer safety,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,consumer_satisfaction,consumer satisfaction,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,continuous_effort,continuous effort,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,continuous_improvement,continuous improvement,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,continuous_innovation,continuous innovation,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,cost-competitiveness,cost competitiveness,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,cost-effectiveness,cost effectiveness,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,cost-efficiency,cost efficiency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_benefit,customer benefit,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_care,customer care,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_confidentiality,customer confidentiality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_data,customer data,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_data_privacy,customer data privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_datum,customer datum,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_datum_privacy,customer datum privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_delight,customer delight,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_expectation,customer expectation,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_experience,customer experience,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_focus,customer focu,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_health,customer health,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_information,customer information,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_need,customer need,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_orientation,customer orientation,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_perception,customer perception,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_privacy,customer privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_privacy_gri,customer privacy gri,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_product,customer product,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_protection,customer protection,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_requirement,customer requirement,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_safety,customer safety,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_satisfaction,customer satisfaction,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_service,customer service,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_value,customer value,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,customer_welfare,customer welfare,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,cyber,cyber,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,cyber_risk,cyber risk,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,cyber-security,cyber security,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,cyber_security_issue,cyber security issue,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,cyber_threat,cyber threat,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,cybersecurity,cybersecurity,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data_breach,data breach,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data_classification,data classification,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data_confidentiality,data confidentiality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data_encryption,data encryption,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data_governance,data governance,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data_integrity,data integrity,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data_leakage,data leakage,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data_loss_prevention,data loss prevention,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data_privacy,data privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data-protection,data protection,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data_protection_and_privacy,data protection and privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data_protection_officer,data protection officer,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data_security,data security,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,data_security_and_privacy,data security and privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,datum_privacy,datum privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,datum_protection,datum protection,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,datum_retention,datum retention,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,datum_security,datum security,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,datum_subject,datum subject,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,delivery_capability,delivery capability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,delivery_performance,delivery performance,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,delivery_quality,delivery quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,delivery_reliability,delivery reliability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,delivery_time,delivery time,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,dependability,dependability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,differentiation,differentiation,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,drug_quality,drug quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,durability,durability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,eco-efficiency,eco efficiency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,efficiency_and_productivity,efficiency and productivity,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,employee_commuting,employee commuting,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,employee_privacy,employee privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,encryption,encryption,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,end-product,end product,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,energy_efficiency,energy efficiency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,energy_insecurity,energy insecurity,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,energy_performance,energy performance,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,enhance_productivity,enhance productivity,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,entire_supply_chain,entire supply chain,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,entire_value_chain,entire value chain,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,equipment_reliability,equipment reliability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,ethical_sourcing,ethical sourcing,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,eu_gdpr,eu gdpr,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,eu_general_data_protection_regulation,eu general data protection regulation,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,eu_general_data_protection_regulation_gdpr,eu general data protection regulation gdpr,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,eu_regulation_2016/679,eu regulation 2016/679,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,export_control,export control,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,fair_operating_practices,fair operating practice,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,food_quality,food quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,food_security,food security,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,food_shortage,food shortage,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,forefront_of_everything,forefront of everything,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,fuel_efficiency,fuel efficiency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,functionality,functionality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,gdpr,gdpr,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,global_supply_chain,global supply chain,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,guest_privacy,guest privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,high_quality,high quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,improve_efficiency,improve efficiency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,improve_productivity,improve productivity,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,improved_efficiency,improved efficiency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,indirect_scope,indirect scope,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,information_confidentiality,information confidentiality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,information_management,information management,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,information_privacy,information privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,information_protection,information protection,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,information_security,information security,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,information_system,information system,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,innovative_product,innovative product,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,it_governance,it governance,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,it_policy,it policy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,it_security,it security,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,it_security_policy,it security policy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,kyoto_protocol,kyoto protocol,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,labelling_and_marketing,labelling and marketing,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,labelling_marketing,labelling marketing,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,localization,localization,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,malnutrition,malnutrition,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,manufacture_quality,manufacture quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,manufacturing_capability,manufacturing capability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,manufacturing_efficiency,manufacturing efficiency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,manufacturing_method,manufacturing method,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,manufacturing_process,manufacturing process,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,manufacturing_quality,manufacturing quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,manufacturing_standard,manufacturing standard,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,manufacturing_system,manufacturing system,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,marketing_and_labeling,marketing and labeling,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,marketing_and_labelling,marketing and labelling,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,marketing_code,marketing code,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,marketing_communication,marketing communication,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,marketing_ethic,marketing ethic,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,marketing_practice,marketing practice,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,material_quality,material quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,network_quality,network quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,network_security,network security,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,nutrition_information,nutrition information,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,operating_efficiency,operating efficiency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,operational_efficiency,operational efficiency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,packaging,packaging,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,packaging_quality,packaging quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,packaging_waste,packaging waste,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,packaging_weight,packaging weight,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,paper_and_cardboard,paper and cardboard,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,paper_usage,paper usage,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,paper_use,paper use,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,patient_care,patient care,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,patient_privacy,patient privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,patient_safety,patient safety,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,pdpa,pdpa,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,people_safety,people safety,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,personal_data,personal data,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,personal_datum,personal datum,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,personal_datum_protection,personal datum protection,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,personal_privacy,personal privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,plant_reliability,plant reliability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,precision,precision,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,prevent_underage,prevent underage,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,price_competitiveness,price competitiveness,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,print_quality,print quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,printing,printing,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy,privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_and_confidentiality,privacy and confidentiality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_and_data_protection,privacy and data protection,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_and_datum_protection,privacy and datum protection,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_and_freedom_of_expression,privacy and freedom of expression,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_awareness,privacy awareness,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_compliance,privacy compliance,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_governance,privacy governance,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_issue,privacy issue,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_legislation,privacy legislation,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_management,privacy management,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_matter,privacy matter,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_policy,privacy policy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_protection,privacy protection,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_regulation,privacy regulation,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_right,privacy right,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_risk,privacy risk,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_security,privacy security,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,privacy_standard,privacy standard,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,process_capability,process capability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,process_control,process control,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,process_efficiency,process efficiency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,process_improvement,process improvement,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,process_optimization,process optimization,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,process_quality,process quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,process_reliability,process reliability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,process_technology,process technology,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,procurement_practice,procurement practice,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_availability,product availability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_competitiveness,product competitiveness,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_consistency,product consistency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_delivery,product delivery,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_design,product design,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_development,product development,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_differentiation,product differentiation,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_durability,product durability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_efficiency,product efficiency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_feature,product feature,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_formulation,product formulation,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_functionality,product functionality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_innovation,product innovation,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_integrity,product integrity,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_labelling,product labelling,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_manufacturing,product manufacturing,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_offering,product offering,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_performance,product performance,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_property,product property,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_purity,product purity,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_quality,product quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_range,product range,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_reliability,product reliability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_responsibility,product responsibility,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_security,product security,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_selection,product selection,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_specification,product specification,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_stability,product stability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_standard,product standard,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_stewardship,product stewardship,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_supply,product supply,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_sustainability,product sustainability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_technology,product technology,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_traceability,product traceability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,product_value,product value,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,production_capability,production capability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,production_chain,production chain,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,production_efficiency,production efficiency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,production_procedure,production procedure,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,production_process,production process,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,production_quality,production quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,production_standard,production standard,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,production_system,production system,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,production_technology,production technology,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,productivity,productivity,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,productivity_and_efficiency,productivity and efficiency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,project_execution,project execution,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,promote_responsible_drinking,promote responsible drinking,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,protection_of_privacy,protection of privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,protocol,protocol,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_and_durability,quality and durability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_and_quantity,quality and quantity,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_and_reliability,quality and reliability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_aspect,quality aspect,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_assurance,quality assurance,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_assurance_system,quality assurance system,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_consistency,quality consistency,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_control,quality control,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_enhancement,quality enhancement,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_excellence,quality excellence,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_improvement,quality improvement,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_issue,quality issue,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_level,quality level,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_management,quality management,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_management_system,quality management system,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_material,quality material,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_parameter,quality parameter,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_performance,quality performance,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_process,quality process,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_product,quality product,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_production,quality production,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_requirement,quality requirement,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_service,quality service,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_standard,quality standard,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,quality_system,quality system,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,raw_material_procurement,raw material procurement,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,raw_material_supply,raw material supply,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,reliability,reliability,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,reputation,reputation,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,responsible_drinking,responsible drinking,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,responsible_gaming,responsible gaming,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,responsible_marketing,responsible marketing,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,responsible_sourcing,responsible sourcing,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,responsiveness,responsiveness,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,road_safety,road safety,A,original,1,0,environmental compliance,environmental,
