Rank,Company,Industry,SIC Division Code,SIC Division Name,LLM Confidence,LLM Rationale
72,Nationwide,Insurance: Property and Casualty (Mutual),H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
73,TD Synnex,Wholesalers: Electronics and Office Equipment,F,Wholesale Trade,0.9,Company is a wholesaler of electronics and office equipment.
74,United Airlines,Airlines,E,Transportation & Public Utilities,1,Airlines are part of transportation services.
75,ConocoPhillips,"Mining, Crude-Oil Production",B,Mining,0.9,"Company involved in crude-oil production, fits mining category."
76,TJX,Specialty Retailers: Apparel,G,Retail Trade,1,Retailer specializing in apparel products.
77,AbbVie,Pharmaceuticals,D,Manufacturing,0.9,Pharmaceuticals involve production of goods.
78,Enterprise Products Partners,Pipelines,E,Transportation & Public Utilities,0.9,Pipelines are part of utility transportation services.
79,Charter Communications,Telecommunications,E,Transportation & Public Utilities,1,Telecommunications falls under utilities and public services.
80,Performance Food,Wholesalers: Food and Grocery,F,Wholesale Trade,0.9,Company is a wholesaler in food and grocery.
81,American Airlines,Airlines,E,Transportation & Public Utilities,1,Airlines are part of transportation services.
82,Capital One,Commercial Banks,H,"Finance, Insurance & Real Estate",1,"Company is a bank, fits finance category."
83,Cisco Systems,Network and Other Communications Equipment,D,Manufacturing,0.9,Core business involves production of communication equipment.
84,HP,"Computers, Office Equipment",D,Manufacturing,1,Core business involves production of goods.
85,Tyson Foods,Food Production,D,Manufacturing,0.9,Food production involves manufacturing processes.
86,Intel,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
87,Oracle,Computer Software,I,Services,0.9,Software development falls under services category.
88,Broadcom,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
89,Deere,Construction and Farm Machinery,C,Construction,0.9,Company focuses on construction machinery production.
90,Nike,Apparel,D,Manufacturing,0.9,Nike produces goods in the apparel industry.
91,Liberty Mutual Insurance,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
92,Plains GP,Pipelines,E,Transportation & Public Utilities,0.9,Pipelines are part of transportation utilities.
93,USAA,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
94,Bristol-Myers Squibb,Pharmaceuticals,D,Manufacturing,0.9,Pharmaceuticals involve production of goods.
95,Ingram Micro,Wholesalers: Electronics and Office Equipment,F,Wholesale Trade,0.9,Company is primarily a wholesaler of electronics.
96,General Dynamics,Aerospace & Defense,D,Manufacturing,0.9,Aerospace manufacturing is a core production of goods.
97,Coca-Cola,Beverages,D,Manufacturing,0.9,Coca-Cola primarily produces and manufactures beverages.
98,TIAA,"Insurance: Life, Health (Mutual)",H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
99,Travelers,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
100,Eli Lilly,Pharmaceuticals,D,Manufacturing,0.9,Pharmaceuticals involve production of goods.
101,Uber,Internet Services and Retailing,G,Retail Trade,0.9,Uber operates as a platform for retail services.
102,Mass Mutual,"Insurance: Life, Health (Mutual)",H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
103,Dow,Chemicals,D,Manufacturing,1,"Chemicals are produced goods, fitting manufacturing."
104,Thermo Fisher Scientific,"Scientific, Photographic and Control Equipment",D,Manufacturing,0.9,Core business involves production of scientific equipment.
105,U.S. Bancorp,Commercial Banks,H,"Finance, Insurance & Real Estate",1,"Company is a bank, fits finance category."
106,World Kinect,Energy,E,Transportation & Public Utilities,0.9,Energy relates to utilities and public services.
107,Abbott Laboratories,Medical Products and Equipment,I,Services,0.9,Medical products relate to healthcare services.
108,Best Buy,Specialty Retailers: Other,G,Retail Trade,1,Best Buy is a retailer specializing in electronics.
109,Northwestern Mutual,"Insurance: Life, Health (Mutual)",H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
110,Northrop Grumman,Aerospace & Defense,I,Services,0.9,Aerospace & Defense primarily involves services and technology.
111,Molina Healthcare,Health Care: Insurance and Managed Care,H,"Finance, Insurance & Real Estate",1,Company operates in health insurance and managed care.
112,Dollar General,Specialty Retailers: Other,G,Retail Trade,1,Dollar General is a retailer specializing in various products.
113,Bank of New York,Commercial Banks,H,"Finance, Insurance & Real Estate",1,Banking falls under finance and insurance sector.
114,Warner Bros. Discovery,Entertainment,I,Services,0.9,Entertainment falls under the services sector.
115,CHS,Food Production,A,"Agriculture, Forestry & Fishing",0.9,Food production relates to agriculture and fishing.
116,Netflix,Entertainment,I,Services,0.9,Entertainment falls under services sector.
117,Qualcomm,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
118,General Electric,Aerospace & Defense,D,Manufacturing,0.9,Aerospace & Defense involves production of goods.
119,Honeywell,Industrial Machinery,D,Manufacturing,0.9,Core business involves production of industrial machinery.
120,Salesforce,Computer Software,I,Services,0.9,Software development falls under services category.
121,Philip Morris,Tobacco,D,Manufacturing,1,Tobacco production is a manufacturing process.
122,US Foods,Wholesalers: Food and Grocery,F,Wholesale Trade,0.9,Company is a wholesaler in food and grocery.
123,D.R. Horton,Homebuilders,C,Construction,0.9,Homebuilders primarily engage in construction activities.
124,Lithia Motors,"Automotive Retailing, Services",G,Retail Trade,0.9,Automotive retailing indicates a focus on retail trade.
125,Mondelez,Food Consumer Products,D,Manufacturing,0.9,Food products are manufactured goods.
126,Starbucks,Food Services,I,Services,0.9,Food services fall under the services category.
127,Visa,Financial Data Services,H,"Finance, Insurance & Real Estate",0.9,Financial services fall under finance and insurance.
128,CBRE,Real Estate,H,"Finance, Insurance & Real Estate",1,Real estate services fall under finance and insurance.
129,Lennar,Homebuilders,C,Construction,1,Homebuilders are primarily involved in construction activities.
130,GE Vernova,Energy,E,Transportation & Public Utilities,0.9,Energy relates to utilities and public services.
131,PNC,Commercial Banks,H,"Finance, Insurance & Real Estate",1,"PNC is a bank, fitting in finance and insurance."
132,Cummins,Industrial Machinery,D,Manufacturing,0.9,Core business involves production of machinery.
133,Paccar,Motor Vehicles & Parts,D,Manufacturing,0.9,Core business involves production of motor vehicles.
134,Amgen,Pharmaceuticals,I,Services,0.9,Pharmaceuticals primarily involve research and development services.
135,PBF Energy,Petroleum Refining,D,Manufacturing,1,Petroleum refining is classified under manufacturing.
136,GuideWell Mutual,"Insurance: Life, Health (Stock)",H,"Finance, Insurance & Real Estate",1,Insurance company falls under finance and real estate.
137,PayPal,Financial Data Services,I,Services,0.9,Financial services fall under the Services category.
138,United Natural Foods,Wholesalers: Food and Grocery,F,Wholesale Trade,0.9,Company is primarily engaged in wholesale food distribution.
139,Dollar Tree,Specialty Retailers: Other,G,Retail Trade,1,Dollar Tree operates as a retailer of various goods.
140,Nucor,Metals,D,Manufacturing,0.9,Nucor primarily produces steel and metal products.
141,Penske Automotive,"Automotive Retailing, Services",G,Retail Trade,0.9,Automotive retailing indicates a focus on retail trade.
142,Coupang,Internet Services and Retailing,G,Retail Trade,0.9,Retail platform for various products and services.
143,Hewlett Packard,"Computers, Office Equipment",D,Manufacturing,0.9,Core business involves production of goods.
144,Duke Energy,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities.
145,KKR,Securities,H,"Finance, Insurance & Real Estate",0.9,KKR operates in finance and investment services.
146,Ferguson,Wholesalers: Diversified,F,Wholesale Trade,0.9,"Company is a wholesaler, fitting the wholesale trade category."
147,Paramount,Entertainment,I,Services,0.9,Entertainment falls under the services sector.
148,Jabil,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
149,Gilead Sciences,Pharmaceuticals,I,Services,0.9,Pharmaceuticals primarily involve research and development services.
150,HF Sinclair,Petroleum Refining,D,Manufacturing,1,Petroleum refining is classified under manufacturing.
151,CarMax,"Automotive Retailing, Services",G,Retail Trade,0.9,Automotive retailing indicates a focus on retail trade.
152,Mastercard,Financial Data Services,H,"Finance, Insurance & Real Estate",0.9,Financial services fall under finance and insurance.
153,NRG Energy,Energy,E,Transportation & Public Utilities,0.9,Energy production aligns with utilities and public services.
154,Arrow Electronics,Wholesalers: Electronics and Office Equipment,F,Wholesale Trade,1,Company is a wholesaler of electronics and office equipment.
155,Baker Hughes,"Oil and Gas Equipment, Services",I,Services,0.9,Company provides services and equipment for oil and gas industry.
156,Southwest Airlines,Airlines,E,Transportation & Public Utilities,1,Airlines are part of transportation services.
157,American International,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
158,Applied Materials,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
159,Occidental Petroleum,"Mining, Crude-Oil Production",B,Mining,0.9,Company focuses on crude-oil production in mining.
160,AutoNation,"Automotive Retailing, Services",G,Retail Trade,0.9,Retailing of automobiles fits retail trade category.
161,Southern,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities.
162,Hartford Insurance,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
163,Apollo Global Management,Securities,H,"Finance, Insurance & Real Estate",0.9,Securities relate to finance and investment management.
164,Charles Schwab,Securities,H,"Finance, Insurance & Real Estate",1,Securities fall under finance and investment services.
165,McDonald's,Food Services,I,Services,0.9,Food services fall under the services category.
166,Kraft Heinz,Food Consumer Products,D,Manufacturing,0.9,Food products are manufactured goods.
167,Advanced Micro Devices,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
168,Truist Financial,Commercial Banks,H,"Finance, Insurance & Real Estate",1,Company operates in the banking sector.
169,Freeport-McMoRan,"Mining, Crude-Oil Production",B,Mining,1,Company is primarily engaged in mining activities.
170,Micron Technology,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
171,Marriott International,"Hotels, Casinos, Resorts",I,Services,0.9,Hotels and resorts are service-oriented businesses.
172,Carrier Global,Industrial Machinery,D,Manufacturing,0.9,Core business involves production of machinery.
173,NextEra Energy,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
174,3M,Chemicals,D,Manufacturing,0.9,"3M produces chemical products, fitting manufacturing."
175,Marsh & McLennan,Diversified Financials,H,"Finance, Insurance & Real Estate",1,Company operates in finance and insurance sectors.
176,PG&E,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
177,Union Pacific,Railroads,E,Transportation & Public Utilities,1,Railroads are part of transportation services.
178,Synchrony Financial,Diversified Financials,H,"Finance, Insurance & Real Estate",0.9,Company operates in financial services sector.
179,Block,Financial Data Services,I,Services,0.9,Financial data services fall under the services category.
180,Danaher,Medical Products and Equipment,I,Services,0.9,Medical products relate to healthcare services.
181,Avnet,Wholesalers: Electronics and Office Equipment,F,Wholesale Trade,1,Company is a wholesaler of electronics and office equipment.
182,Booking s,Internet Services and Retailing,G,Retail Trade,0.9,Company operates in retailing services online.
183,EOG Resources,"Mining, Crude-Oil Production",B,Mining,1,Company is focused on crude-oil production.
184,Quanta Services,Engineering & Construction,C,Construction,0.9,Company focuses on engineering and construction services.
185,Discover Financial,Diversified Financials,H,"Finance, Insurance & Real Estate",1,Company operates in financial services sector.
186,Constellation Energy,Energy,E,Transportation & Public Utilities,0.9,Energy relates to utilities and public services.
187,Genuine Parts,Wholesalers: Diversified,F,Wholesale Trade,0.9,"Company is a wholesaler, fitting Wholesale Trade category."
188,Jones Lang LaSalle,Real Estate,H,"Finance, Insurance & Real Estate",1,Real estate services fall under finance and insurance.
189,Lear,Motor Vehicles & Parts,D,Manufacturing,1,Core business involves production of goods.
190,Live Nation Entertainment,Entertainment,I,Services,0.9,Entertainment is primarily a service industry.
191,Sherwin-Williams,Chemicals,D,Manufacturing,0.9,Core business involves production of chemical goods.
192,Exelon,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
193,Macy's,General Merchandisers,G,Retail Trade,1,Macy's is a retailer in general merchandising.
194,Halliburton,"Oil and Gas Equipment, Services",I,Services,0.9,Company provides services in oil and gas sector.
195,Stryker,Medical Products and Equipment,I,Services,0.9,Medical products relate to healthcare services.
196,Reinsurance of America,"Insurance: Life, Health (Stock)",H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
197,Waste Management,Waste Management,I,Services,0.9,Waste management is a service-oriented industry.
198,State Street,Commercial Banks,H,"Finance, Insurance & Real Estate",1,Company operates in the banking sector.
199,WESCO International,Wholesalers: Diversified,F,Wholesale Trade,0.9,"Company is a wholesaler, fitting the wholesale trade category."
200,Oneok,Pipelines,E,Transportation & Public Utilities,0.9,Pipelines are part of utility transportation services.
201,Adobe,Computer Software,I,Services,0.9,Adobe primarily provides software services and solutions.
202,American Family Insurance,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
203,L3Harris Technologies,Aerospace & Defense,D,Manufacturing,0.9,Aerospace & Defense involves production of goods.
204,Ross Stores,Specialty Retailers: Apparel,G,Retail Trade,1,Retailer specializing in apparel products.
205,CDW,Information Technology Services,I,Services,0.9,IT services fall under the services category.
206,Tenet Healthcare,Health Care: Medical Facilities,I,Services,0.9,Healthcare facilities fall under services category.
207,BJ's Wholesale Club,General Merchandisers,F,Wholesale Trade,0.9,Wholesale club indicates a focus on wholesale trade.
208,Fiserv,Financial Data Services,I,Services,0.9,Financial data services fall under the services category.
209,Altria,Tobacco,D,Manufacturing,0.9,Tobacco production is a manufacturing process.
210,BlackRock,Securities,H,"Finance, Insurance & Real Estate",0.9,Securities are part of finance and investment services.
211,Becton Dickinson,Medical Products and Equipment,I,Services,0.9,Medical products relate to healthcare services.
212,Colgate-Palmolive,Household and Personal Products,D,Manufacturing,0.9,Household products are manufactured goods.
213,Kimberly-Clark,Household and Personal Products,D,Manufacturing,0.9,Produces goods for household and personal use.
214,1 Automotive,"Automotive Retailing, Services",G,Retail Trade,0.9,Retailing indicates a focus on selling automotive products.
215,Parker-Hannifin,Industrial Machinery,D,Manufacturing,0.9,Core business involves production of machinery.
216,General Mills,Food Consumer Products,D,Manufacturing,0.9,Food products are manufactured goods.
217,Cognizant Technology,Information Technology Services,I,Services,0.9,"Company provides IT services, fitting in the services category."
218,American Electric Power,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
219,GE HealthCare Technologies,Medical Products and Equipment,I,Services,0.9,Medical products relate to healthcare services.
220,Automatic Data Processing,Diversified Outsourcing Services,I,Services,0.9,Outsourcing services align with the Services sector.
221,Cleveland-Cliffs,Metals,D,Manufacturing,0.9,Metals production aligns with manufacturing activities.
222,Aflac,"Insurance: Life, Health (Stock)",H,"Finance, Insurance & Real Estate",1,Insurance company fits finance and real estate category.
223,Goodyear Tire & Rubber,Motor Vehicles & Parts,D,Manufacturing,1,Core business involves production of goods.
224,Corebridge Financial,Diversified Financials,H,"Finance, Insurance & Real Estate",0.9,Corebridge operates in financial services sector.
225,Newmont,"Mining, Crude-Oil Production",B,Mining,1,Company is primarily engaged in mining activities.
226,International Paper,"Packaging, Containers",D,Manufacturing,0.9,Core business involves production of goods.
227,AutoZone,Specialty Retailers: Other,G,Retail Trade,1,Retailer specializing in automotive parts and accessories.
228,Lincoln National,"Insurance: Life, Health (Stock)",H,"Finance, Insurance & Real Estate",1,Insurance company fits finance and real estate category.
229,Pulte,Homebuilders,C,Construction,1,Homebuilders are primarily involved in construction activities.
230,Ameriprise Financial,Diversified Financials,H,"Finance, Insurance & Real Estate",0.9,Company operates in financial services sector.
231,Murphy USA,Specialty Retailers: Other,G,Retail Trade,0.9,Retailer in specialty goods category.
232,Manpower,Diversified Outsourcing Services,I,Services,0.9,Outsourcing services fall under the services category.
233,C.H. Robinson Worldwide,Transportation and Logistics,E,Transportation & Public Utilities,0.9,Transportation and logistics fall under public utilities.
234,PPG Industries,Chemicals,D,Manufacturing,0.9,Chemicals are typically manufactured goods.
235,Edison International,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
236,Steel Dynamics,Metals,D,Manufacturing,0.9,Core business involves production of metal goods.
237,Loews,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance company falls under finance and real estate.
238,Emerson Electric,Industrial Machinery,D,Manufacturing,0.9,Core business involves production of industrial machinery.
239,Aramark,Diversified Outsourcing Services,I,Services,0.9,Outsourcing services align with the services sector.
240,MGM Resorts International,"Hotels, Casinos, Resorts",I,Services,0.9,Hotels and casinos fall under services industry.
241,Vistra,Energy,E,Transportation & Public Utilities,0.9,Energy relates to utilities and public services.
242,Asbury Automotive,"Automotive Retailing, Services",G,Retail Trade,0.9,Automotive retailing indicates a focus on retail trade.
243,W.W. Grainger,Wholesalers: Diversified,F,Wholesale Trade,1,Company operates as a wholesaler.
244,Global Partners,Energy,E,Transportation & Public Utilities,0.9,Energy suggests involvement in utilities or transportation.
245,Jacobs Solutions,Diversified Outsourcing Services,I,Services,0.9,Outsourcing services align with the Services sector.
246,Corteva,Food Production,A,"Agriculture, Forestry & Fishing",0.9,Food production relates to agriculture and farming.
247,Peter Kiewit Sons',Engineering & Construction,C,Construction,0.9,Company focuses on engineering and construction services.
248,Boston Scientific,Medical Products and Equipment,I,Services,0.9,Medical products relate to healthcare services.
249,O'Reilly Automotive,Specialty Retailers: Other,G,Retail Trade,1,Retailer specializing in automotive parts and accessories.
250,Leidos s,Information Technology Services,I,Services,0.9,"Company provides IT services, fitting in the Services category."
251,Markel,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance company fits finance and real estate category.
252,Whirlpool,"Electronics, Electrical Equip.",D,Manufacturing,1,Core business involves production of goods.
253,Guardian Life,"Insurance: Life, Health (Mutual)",H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
254,Builders FirstSource,"Building Materials, Glass",C,Construction,0.9,Company focuses on building materials for construction.
255,Ally Financial,Diversified Financials,H,"Finance, Insurance & Real Estate",1,Company operates in financial services sector.
256,Targa Resources,Pipelines,E,Transportation & Public Utilities,0.9,Pipelines are part of utility transportation services.
257,Fluor,Engineering & Construction,C,Construction,0.9,Company focuses on engineering and construction services.
258,Intuit,Computer Software,I,Services,0.9,Software development falls under services category.
259,AECOM,Engineering & Construction,C,Construction,0.9,Company focuses on engineering and construction services.
260,Edward Jones,Securities,H,"Finance, Insurance & Real Estate",1,Securities are part of finance and investment services.
261,Kohl's,General Merchandisers,G,Retail Trade,1,Retailer selling general merchandise.
262,Land O'Lakes,Food Consumer Products,D,Manufacturing,0.9,Food products are manufactured goods.
263,Principal Financial,"Insurance: Life, Health (Stock)",H,"Finance, Insurance & Real Estate",1,Insurance company fits finance and real estate category.
264,Dominion Energy,Utilities: Gas and Electric,E,Transportation & Public Utilities,1,Utilities fall under transportation and public utilities category.
265,Kyndryl s,Information Technology Services,I,Services,0.9,IT services fall under the services category.
266,Republic Services,Waste Management,I,Services,0.9,Waste management is a service-oriented industry.
267,Devon Energy,"Mining, Crude-Oil Production",B,Mining,0.9,Company focuses on crude-oil production in mining sector.
268,Illinois Tool Works,Industrial Machinery,D,Manufacturing,0.9,Core business involves production of industrial machinery.
269,Northern Trust,Commercial Banks,H,"Finance, Insurance & Real Estate",1,Company operates in the banking sector.
270,Auto-Owners Insurance,Insurance: Property and Casualty (Mutual),H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
271,Universal Health Services,Health Care: Medical Facilities,I,Services,0.9,Health care facilities fall under services category.
272,Pacific Life,"Insurance: Life, Health (Stock)",H,"Finance, Insurance & Real Estate",1,Insurance company fits finance and real estate category.
273,EchoStar,Telecommunications,E,Transportation & Public Utilities,0.9,Telecommunications falls under utilities and public services.
274,Ecolab,Chemicals,D,Manufacturing,0.9,Ecolab produces chemical products for various industries.
275,Cheniere Energy,Pipelines,E,Transportation & Public Utilities,0.9,Pipelines are part of utility transportation services.
276,Omnicom,"Advertising, Marketing",I,Services,0.9,Advertising and marketing are service-oriented industries.
277,Texas Instruments,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
278,United States Steel,Metals,D,Manufacturing,0.9,Core business involves production of metal goods.
279,Estée Lauder,Household and Personal Products,D,Manufacturing,0.9,Household products are manufactured goods.
280,Farmers Insurance Exchange,Insurance: Property and Casualty (Mutual),H,"Finance, Insurance & Real Estate",1,Insurance company fits in finance and real estate.
